eta_label,eta,N,primary_estimator,holonomy_estimate,target_h,abs_error,rel_error,rate_between_N_doublings,round_trip_residual,central_secant_estimate,central_secant_abs_error,estimator_abs_diff,blind_table_comparison_estimator
3*pi/8,1.1780972450961724,2,wilson_overlap_product,6.283185307179586,4.442882938158366,1.8403023690212201,0.41421356237309503,,0.0,1.7319121124709863e-16,4.442882938158366,6.283185307179586,wilson_overlap_product
3*pi/8,1.1780972450961724,4,wilson_overlap_product,6.283185307179586,4.442882938158366,1.8403023690212201,0.41421356237309503,0.0,0.0,2.8284271247461894,1.6144558134121767,3.454758182433397,wilson_overlap_product
3*pi/8,1.1780972450961724,8,wilson_overlap_product,4.923837669363098,4.442882938158366,0.480954731204732,0.10825284795914386,1.9359698112753445,0.0,3.9999999999999996,0.44288293815836655,0.9238376693630985,wilson_overlap_product
3*pi/8,1.1780972450961724,16,wilson_overlap_product,4.5587860259529975,4.442882938158366,0.11590308779463143,0.026087360258624053,2.052982107970976,0.0,4.329568801169576,0.11331413698879,0.22921722478342144,wilson_overlap_product
3*pi/8,1.1780972450961724,32,wilson_overlap_product,4.471540126044221,4.442882938158366,0.02865718788585525,0.0064501334572038115,2.0159500511652193,0.0,4.41439006852709,0.028492869631276285,0.057150057517131536,wilson_overlap_product
3*pi/8,1.1780972450961724,64,wilson_overlap_product,4.450026768258773,4.442882938158366,0.0071438301004072,0.001607926699812715,2.0041273708804495,0.0,4.435749414370923,0.007133523787443252,0.014277353887850452,wilson_overlap_product
5*pi/12,1.3089969389957472,2,wilson_overlap_product,6.283185307179586,5.441398092702654,0.8417872144769323,0.1547005383792514,,0.0,2.1211504774498138e-16,5.441398092702654,6.283185307179586,wilson_overlap_product
5*pi/12,1.3089969389957472,4,wilson_overlap_product,6.283185307179586,5.441398092702654,0.8417872144769323,0.1547005383792514,0.0,0.0,3.4641016151377553,1.9772964775648987,2.819083692041831,wilson_overlap_product
5*pi/12,1.3089969389957472,8,wilson_overlap_product,5.709795031558125,5.441398092702654,0.2683969388554708,0.04932499594459232,1.6490873801279669,0.0,4.898979485566357,0.5424186071362973,0.8108155459917681,wilson_overlap_product
5*pi/12,1.3089969389957472,16,wilson_overlap_product,5.510744039386319,5.441398092702654,0.069345946683665,0.012744141395694502,1.9524847536297982,0.0,5.3026171845694705,0.13878090813318344,0.20812685481684845,wilson_overlap_product
