eta_label,eta,N,area_estimate,area_target,abs_error,rel_error,rate_between_N_doublings
3*pi/8,1.1780972450961724,2,3.2001563056406604e-16,13.957728399277759,13.957728399277759,1.0,
3*pi/8,1.1780972450961724,4,15.827497211873963,13.957728399277759,1.8697688125962042,0.13395939218110559,2.900132359708703
3*pi/8,1.1780972450961724,8,16.672172264959585,13.957728399277759,2.714443865681826,0.19447604853969536,-0.5377967502087814
3*pi/8,1.1780972450961724,16,14.938465093009984,13.957728399277759,0.9807366937322257,0.07026477845656989,1.4687188878423598
3*pi/8,1.1780972450961724,32,14.228325987672964,13.957728399277759,0.270597588395205,0.019386936086907024,1.857716874624574
3*pi/8,1.1780972450961724,64,14.027117647463932,13.957728399277759,0.06938924818617309,0.004971385471991534,1.963364941185013
5*pi/12,1.3089969389957472,2,2.999759773043693e-16,9.869604401089356,9.869604401089356,1.0,
5*pi/12,1.3089969389957472,4,15.964061252839397,9.869604401089356,6.09445685175004,0.6174975818764697,0.6954946077797737
5*pi/12,1.3089969389957472,8,15.09707203526105,9.869604401089356,5.227467634171694,0.5296532081462872,0.22138542675833903
5*pi/12,1.3089969389957472,16,11.820797503769029,9.869604401089356,1.9511931026796727,0.19769719467827,1.4217556609688407
5*pi/12,1.3089969389957472,32,10.425058006472224,9.869604401089356,0.5554536053828674,0.056279216755796134,1.8126182437031295
5*pi/12,1.3089969389957472,64,10.013591009048783,9.869604401089356,0.14398660795942675,0.014588893547094375,1.9477317802389835
pi/12,0.2617993877991494,2,2.999759773043693e-16,9.869604401089356,9.869604401089356,1.0,
pi/12,0.2617993877991494,4,5.757494968785629,9.869604401089356,4.112109432303727,0.4166437949478354,1.2631136006042014
pi/12,0.2617993877991494,8,8.704541356214014,9.869604401089356,1.1650630448753425,0.11804556672471582,1.8194706330161927
pi/12,0.2617993877991494,16,9.56925049956459,9.869604401089356,0.3003539015247654,0.030432212814083395,1.9556727159647593
pi/12,0.2617993877991494,32,9.793940153466265,9.869604401089356,0.07566424762309154,0.007666391128578579,1.9889797307728299
pi/12,0.2617993877991494,64,9.85065223430567,9.869604401089356,0.018952166783686053,0.001920255971110069,1.9972489685468098
pi/3,1.0471975511965976,2,3.345797276597167e-16,17.09465627329217,17.09465627329217,1.0,
pi/3,1.0471975511965976,4,15.491933384829668,17.09465627329217,1.6027228884625018,0.09375578325997203,3.414948504898624
pi/3,1.0471975511965976,8,17.99355351771645,17.09465627329217,0.8988972444242798,0.0525835225963959,0.8342968928226968
pi/3,1.0471975511965976,16,17.471242793697392,17.09465627329217,0.37658652040522256,0.022029487717374136,1.2551748456390788
pi/3,1.0471975511965976,32,17.200397345745287,17.09465627329217,0.10574107245311737,0.006185621445827016,1.8324454967428099
pi/3,1.0471975511965976,64,17.121857541138418,17.09465627329217,0.0272012678462481,0.001591214670326305,1.9587900621751346
pi/4,0.7853981633974483,2,3.463824224941973e-16,19.739208802178716,19.739208802178716,1.0,
pi/4,0.7853981633974483,4,13.856406460551018,19.739208802178716,5.882802341627698,0.29802624819381734,1.7464886955039014
pi/4,0.7853981633974483,8,18.54306641658684,19.739208802178716,1.1961423855918767,0.06059728115646927,2.2981144291216533
pi/4,0.7853981633974483,16,19.47272042535702,19.739208802178716,0.2664883768216946,0.013500458883249713,2.16624461955178
pi/4,0.7853981633974483,32,19.67496479120238,19.739208802178716,0.06424401097633492,0.003254639617026797,2.0524387364217866
pi/4,0.7853981633974483,64,19.72330238525848,19.739208802178716,0.015906416920234534,0.000805828494933336,2.013953077365321
pi/6,0.5235987755982988,2,3.345797276597167e-16,17.094656273292166,17.094656273292166,1.0,
pi/6,0.5235987755982988,4,10.583005244258361,17.094656273292166,6.511651029033805,0.38091734194195426,1.3924501242238942
pi/6,0.5235987755982988,8,15.359773958785178,17.094656273292166,1.7348823145069883,0.10148682060472204,1.9081855839698132
pi/6,0.5235987755982988,16,16.656492203102335,17.094656273292166,0.4381640701898313,0.025631639688151953,1.9852947089874393
pi/6,0.5235987755982988,32,16.98488592596016,17.094656273292166,0.10977034733200597,0.0064213252128096695,1.996982800561494
pi/6,0.5235987755982988,64,17.067200173451514,17.094656273292166,0.027456099840652115,0.0016061217845923085,1.9992897771986913
pi/8,0.39269908169872414,2,3.2001563056406604e-16,13.957728399277757,13.957728399277757,1.0,
pi/8,0.39269908169872414,4,8.336086132479792,13.957728399277757,5.621642266797965,0.40276197573015227,1.3120006082034712
pi/8,0.39269908169872414,8,12.398761882841917,13.957728399277757,1.5589665164358397,0.11169199398639312,1.8504017086520541
pi/8,0.39269908169872414,16,13.558565325039106,13.957728399277757,0.3991630742386505,0.02859799695337998,1.9655397709024391
pi/8,0.39269908169872414,32,13.85735537745949,13.957728399277757,0.10037302181826746,0.00719121471252165,1.9916067111194726
pi/8,0.39269908169872414,64,13.93259887396906,13.957728399277757,0.02512952530869761,0.0018004022280586815,1.9979162305635103
